Name,3I GROUP  ,ABERDEEN ASSET MAN.  ,ACKERMANS & VAN HAAREN  ,AMP  ,ASX  ,ACOM  ,AMERICAN EXPRESS  ,BANK OF NEW YORK MELLON  ,BLACKROCK  ,CI FINANCIAL  ,CLOSE BROTHERS GROUP  ,CIE.NALE.A PTF.  ,CAPITAL ONE FINL.  ,CHALLENGER FINL.SVS.GP.  ,CHARLES SCHWAB  ,CHINA EVERBRIGHT  ,COMPUTERSHARE  ,CREDIT SAISON  ,DAIWA SECURITIES GROUP  ,EURAZEO  ,EATON VANCE NV.  ,EQUIFAX  ,FRANKLIN RESOURCES  ,GAM HOLDING  ,GBL NEW  ,GOLDMAN SACHS GP.  ,ICAP  ,IGM FINL.  ,INDUSTRIVARDEN 'A'  ,INTERMEDIATE CAPITAL GP.  ,KINNEVIK 'B'  ,INVESTOR 'B'  ,LEGG MASON  ,MAN GROUP  ,MARFIN INV.GP.HDG.  ,MACQUARIE GROUP  ,MITSUB.UFJ LSE.& FINANCE  ,MIZUHO SECURITIES  ,MOODY'S  ,MORGAN STANLEY  ,NOMURA HDG.  ,ORIX  ,PARGESA 'B'  ,PROVIDENT FINANCIAL  ,PERPETUAL  ,RATOS 'B'  ,SCHRODERS  ,SLM  ,SOFINA  ,STATE STREET  ,T ROWE PRICE GP.  ,TD AMERITRADE HOLDING  ,WENDEL  
12/12/08,114.1,242,1404,32.2,739.1,79,485.1,1490.9,850.7,1185.6,4168.1,411.5,527.2,79.4,4613.3,580.6,4870.2,548.1,201.4,2129.7,31309.6,3546.9,1668092,1112.5,723.3,96.3,641,1347.9,978.7,332.2,307.3,1048.7,725.6,826,370.1,434.6,98.5,140.9,177.5,215.3,163.7,742.9,448.5,7482.4,572.7,548.9,26016.3,1042.5,1062.6,9853.7,3905.9,797.5,218.8
12/15/08,102.4,247.8,1404.4,33.4,775.5,82.9,461.2,1507.5,819.8,1149.5,4304.1,407,489.6,84.1,4447.7,617.2,4996.5,582,212.1,2104,29680.5,3513.6,1647842,1156.9,717.2,94.4,627.1,1306.3,969.6,337.3,303.4,1039.8,697.9,852.8,374.5,453.8,102.9,146.3,169.2,212,164.7,774.4,425.2,7482.4,581.8,560.8,24687,994.7,1054.2,9324.5,3884.7,778.5,218.9
12/16/08,89.3,246.5,1424.7,33.8,780.3,80.1,478.4,1664.6,914.8,1156.9,4373.2,406.3,552.4,81.5,4605,608.7,4947.4,568.5,200.6,2053.8,32690.4,3714.5,1772717,1183.5,720.2,108,603.7,1332.6,1033,325.6,316.5,1073,779.5,806.6,396.2,430.8,96.7,137.8,181.1,250.7,157.6,720,411.4,7491.4,556.9,564.7,25227.5,1150.7,1096.5,10298.2,4202.9,817.8,216.6
12/17/08,94.7,254.8,1345.5,33.8,762.3,83.4,472.4,1605,922.8,1148.7,4472.5,406.4,552.6,83.5,4569.1,628.2,4856.1,560.1,195.4,2039,31775.1,3803.7,1815467,1213.1,723.5,111.9,602.7,1293.2,987.7,326.8,302.1,1073,759.8,795.7,419.5,422,96.9,140.1,183.9,256.5,157.1,695.7,402.5,7784.8,567.3,573.7,24394.8,1167,1114.6,10666,4185.5,801.2,221
12/18/08,97.6,256,1319.5,33.1,788.2,85,450.7,1511,900.6,1113.4,4351.6,389.8,558,87.1,4373.1,653.9,4891.2,552.1,202.7,1983.8,30828.6,3808.2,1718717,1183.5,713.1,113.7,592,1253.7,1005.8,313.9,315.2,1073,772.2,805.8,405,427.4,99,141.6,182.6,252.3,163.5,767.2,397.3,7920.2,575.5,562.8,23766.7,1107.9,1070.2,10335.3,4025.2,790.2,222
12/19/08,95.3,257.3,1352.3,34.8,777.6,81.1,463.4,1506.4,965.7,1091.3,4705.6,363.9,580.7,87.6,4179.9,647.8,5150.9,524.1,218.6,1908,31511.3,3861.1,1764561,1153.9,706.3,114.7,614.9,1424.7,974.1,325.9,316.5,1039.8,779.8,789.8,402,439.5,95.8,141.6,193.2,240.2,171.8,754.4,384.7,8285.7,629.5,532,24307.2,1107.9,1085.4,10676.6,4134.5,774.2,218.6
12/22/08,93.7,265,1272.6,34.3,763.5,83.1,439.3,1480.6,943.6,1074.1,4718.6,377.7,561.4,88.2,4146.7,608.1,5101.8,510.9,225.4,1866.3,30099.4,3758.3,1711686,1145,703.2,109.4,580.3,1402.3,946.9,309.6,306,1026.5,741.6,754.5,412.2,425.4,95,149.4,183.4,226.6,184.9,747.2,376.9,8181.9,606,517.2,25417.4,1042.5,1088,10009.8,4027.6,763.7,210.4
12/23/08,93.5,258.6,1300.7,34.5,753.5,83.1,428.3,1497.8,912.8,1033.8,4381.8,384.5,543.8,91.8,4105.3,576.9,5235.1,510.9,225.4,1866.8,29075.4,3785.5,1697905,1124.3,708.5,106.9,593.1,1361.5,960.5,314.9,303.4,1019.9,705.2,742.8,419.5,419.7,95,149.4,175.7,224.5,184.9,747.2,360.7,7942.7,628.9,505.3,24833.1,1024.9,1111.1,9689.6,3925.7,768.6,212.3
12/24/08,90,259.9,1289.4,34.5,771.4,84.3,428.5,1509.8,908,1081.4,4446.6,388.8,551.2,97.6,4213,578.7,5396.5,487.4,225.4,1852.8,30021.8,3817.2,1707186,1124.3,695.1,108.6,600,1386.1,960.5,323.7,303.4,1019.9,730.3,778.9,419.5,438.5,85.4,142.4,175,225.4,174.8,714.3,360.7,8303.8,621.8,505.3,24701.6,1036.2,1109.5,9798.1,4017.7,782.2,209
12/25/08,90,259.9,1289.4,34.5,771.4,85.2,428.5,1509.8,908,1081.4,4446.6,388.8,551.2,97.6,4213,578.7,5396.5,497.7,225.4,1852.8,30021.8,3817.2,1707186,1124.3,695.1,108.6,600,1386.1,960.5,323.7,303.4,1019.9,730.3,778.9,419.5,438.5,90.4,144.7,175,225.4,176.5,720,360.7,8303.8,621.8,505.3,24701.6,1036.2,1109.5,9798.1,4017.7,782.2,209
